   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 570,           846,             278,            629,      2667,           0,       5657
 571,           847,             278,            711,      2676,           0,       3028
 572,           848,             278,            626,      2678,           0,       4078
 573,           849,             278,           2867,      2690,           0,       4636
 574,           850,             278,            668,      2688,           0,       3019
 575,           851,             278,           1054,      2693,           0,       7030
 576,           853,             279,           1191,      2702,           0,       3040
 577,           855,             280,            627,      2705,           0,       4162
 578,           858,             282,           1047,      2706,           0,       4949
 579,           859,             282,            635,      2714,           0,       3055
 580,           860,             282,            632,      2730,           0,       4060
 581,           861,             282,            653,      2732,           0,       5640
 582,           863,             283,            646,      2720,           0,       3079
 583,           864,             283,            632,      2723,           0,       4002
 584,           865,             283,            640,      2726,           0,       6816
 585,           866,             283,           1136,      2729,           0,       3137
 586,           869,             285,            647,      2730,           0,       3240
 587,           870,             285,            718,      2747,           0,       4987
 588,           871,             285,            670,      2757,           0,       3923
 589,           872,             285,            642,      2762,           0,       3203
 590,           875,             287,           1363,      2761,           0,       4348
 591,           876,             287,            915,      2771,           0,       3543
 592,           877,             287,            653,      2774,           0,       3132
 593,           878,             287,            668,      2775,           0,       5178
 594,           880,             288,           1162,      2784,           0,       3191
 595,           882,             289,            648,      2792,           0,       3138
 596,           883,             289,            664,      2793,           0,       5732
 597,           884,             289,            656,      2808,           0,       3165
 598,           885,             289,            648,      2805,           0,       3154
 599,           886,             289,            652,      2818,           0,       3815
 600,           887,             289,            654,      2819,           0,       3592
 601,           888,             289,            654,      2822,           0,       3186
 602,           890,             290,            656,      2816,           0,       3436
 603,           892,             291,            654,      2827,           0,       3227
 604,           896,             294,            658,      2845,           0,       3200
 605,           897,             294,            656,      2850,           0,       3195
 606,           898,             294,            658,      2846,           0,       3360
 607,           899,             294,            664,      2844,           0,       4527
 608,           900,             294,            664,      2863,           0,       3262
 609,           902,             295,            667,      2866,           0,       3357
 610,           903,             295,            734,      2857,           0,       3342
 611,           904,             295,            663,      2861,           0,       3234
 612,           906,             296,            663,      2883,           0,       3258
 613,           907,             296,            744,      2885,           0,       3275
 614,           908,             296,            665,      2885,           0,       3305
 615,           909,             296,            668,      2884,           0,       3242
 616,           910,             296,            665,      2905,           0,       3364
 617,           912,             297,            673,      2904,           0,       3394
 618,           913,             297,            761,      2905,           0,       3278
 619,           914,             297,            667,      2910,           0,       3270
 620,           915,             297,            819,      2930,           0,       3310
 621,           917,             298,            710,      2931,           0,       3673
 622,           918,             298,            678,      2930,           0,       3295
 623,           919,             298,            674,      2942,           0,       3578
 624,           921,             299,            677,      2961,           0,       4645
 625,           922,             299,            730,      2966,           0,       3344
 626,           925,             301,            680,      2979,           0,       3439
 627,           929,             304,            683,      2967,           0,       3437
 628,           930,             304,            685,      2968,           0,       3339
 629,           931,             304,            684,      2971,           0,       3357
 630,           933,             305,            725,      2998,           0,       3360
 631,           934,             305,            708,      3003,           0,       4506
 632,           936,             306,            701,      2986,           0,       3365
 633,           937,             306,            692,      3000,           0,       3765
 634,           938,             306,            694,      3005,           0,       5013
 635,           940,             307,            694,      3009,           0,       3397
 636,           941,             307,            743,      3023,           0,       3562
 637,           945,             310,            735,      3025,           0,       4328
 638,           948,             312,            706,      3043,           0,       3417
 639,           949,             312,            707,      3044,           0,       4610
 640,           950,             312,            927,      3066,           0,       3850
 641,           951,             312,            706,      3068,           0,       3426
 642,           953,             313,            768,      3074,           0,       4257
 643,           954,             313,           1274,      3071,           0,       4377
 644,           955,             313,            709,      3064,           0,       3674
 645,           956,             313,           1395,      3064,           0,       4462
 646,           958,             314,            718,      3076,           0,       3566
 647,           959,             314,            921,      3088,           0,       4441
 648,           962,             316,            714,      3078,           0,       4538
 649,           967,             320,            744,      3089,           0,       4770
 650,           968,             320,            722,      3093,           0,       4740
 651,           969,             320,            948,      3094,           0,       4132
 652,           971,             321,            720,      3109,           0,       4095
 653,           972,             321,           1351,      3110,           0,       3846
 654,           973,             321,            765,      3115,           0,       3700
 655,           975,             322,            721,      3116,           0,       4103
 656,           976,             322,           1216,      3133,           0,       4527
 657,           977,             322,            722,      3135,           0,       3771
 658,           979,             323,            723,      3137,           0,       4657
 659,           980,             323,            725,      3140,           0,       4472
 660,           984,             326,            730,      3153,           0,       3807
 661,           986,             327,            738,      3157,           0,       4766
 662,           987,             327,            736,      3144,           0,       4422
 663,           988,             327,            742,      3155,           0,       3755
 664,           989,             327,            739,      3167,           0,       4607
 665,           990,             327,            901,      3170,           0,       3576
 666,           991,             327,            736,      3176,           0,       4912
 667,           992,             327,           1224,      3189,           0,       4294
 668,           994,             328,            906,      3186,           0,       4592
 669,           995,             328,            931,      3188,           0,       4344
 670,           996,             328,            738,      3203,           0,       4139
 671,           997,             328,            737,      3199,           0,       3608
 672,           999,             329,            735,      3199,           0,       4923
 673,          1003,             332,            746,      3205,           0,       4713
 674,          1004,             332,            743,      3212,           0,       4445
 675,          1005,             332,            746,      3211,           0,       3632
 676,          1006,             332,            746,      3232,           0,       4385
 677,          1007,             332,            838,      3240,           0,       4076
 678,          1008,             332,            818,      3246,           0,       3661
 679,          1009,             332,            742,      3251,           0,       4030
 680,          1011,             333,            747,      3244,           0,       3994
 681,          1012,             333,            750,      3250,           0,       3715
 682,          1013,             333,            749,      3260,           0,       4015
 683,          1014,             333,            750,      3264,           0,       3958
 684,          1015,             333,           1054,      3251,           0,       5011
 685,          1016,             333,            792,      3255,           0,       5141
 686,          1018,             334,            801,      3273,           0,       3772
 687,          1021,             336,           1097,      3295,           0,       6449
 688,          1023,             337,            765,      3293,           0,       4225
 689,          1025,             338,            763,      3294,           0,       4667
 690,          1026,             338,           2193,      3303,           0,       4365
 691,          1027,             338,            759,      3304,           0,       3864
 692,          1028,             338,           1407,      3308,           0,       4691
 693,          1030,             339,           1104,      3312,           0,       4199
 694,          1031,             339,            761,      3317,           0,       4379
 695,          1035,             342,           2141,      3328,           0,       5266
 696,          1036,             342,            771,      3343,           0,       3828
 697,          1037,             342,            895,      3346,           0,       5850
 698,          1038,             342,           1215,      3347,           0,       3784
 699,          1040,             343,            769,      3344,           0,       7565
 700,          1043,             345,           1621,      3383,           0,       6196
 701,          1044,             345,            808,      3382,           0,       3929
 702,          1049,             349,           4297,      3386,           0,       5137
 703,          1050,             349,           1263,      3385,           0,      35623
 704,          1051,             349,           6958,      3393,           0,       8399
 705,          1052,             349,           3402,      3395,           0,       6929
 706,          1055,             351,           2379,      3403,           0,       7575
 707,          1056,             351,            889,      3418,           0,       4337
 708,          1058,             352,           1127,      3408,           0,      41543
 709,          1059,             352,            815,      3411,           0,       9437
 710,          1060,             352,            787,      3428,           0,      18609
 711,          1061,             352,           1492,      3424,           0,       3874
 712,          1062,             352,            788,      3433,           0,       3876
 713,          1063,             352,            787,      3443,           0,      10035
 714,          1065,             353,           1551,      3446,           0,      19410
 715,          1068,             355,           2635,      3435,           0,       8222
 716,          1069,             355,           1869,      3468,           0,       5172
 717,          1070,             355,            822,      3468,           0,      24693
 718,          1071,             355,           1537,      3478,           0,       5150
 719,          1072,             355,            933,      3480,           0,       4262
 720,          1073,             355,           1563,      3478,           0,       6433
 721,          1074,             355,            799,      3486,           0,       3891
 722,          1075,             355,            793,      3501,           0,       3911
 723,          1077,             356,           1749,      3493,           0,       9703
 724,          1078,             356,            798,      3509,           0,       7090
 725,          1079,             356,            903,      3526,           0,       3941
 726,          1080,             356,            796,      3515,           0,       3933
 727,          1081,             356,           1425,      3517,           0,       7470
 728,          1082,             356,            805,      3536,           0,       4014
 729,          1083,             356,            802,      3538,           0,       6829
 730,          1084,             356,            802,      3533,           0,       4035
 731,          1085,             356,            921,      3544,           0,       8669
 732,          1086,             356,            872,      3553,           0,       4007
 733,          1087,             356,            803,      3553,           0,       3996
 734,          1089,             357,           1556,      3573,           0,       5293
 735,          1090,             357,            818,      3575,           0,       4012
 736,          1091,             357,            805,      3571,           0,       6624
 737,          1092,             357,            929,      3575,           0,       4044
 738,          1094,             358,            808,      3588,           0,       4931
 739,          1097,             360,           2107,      3598,           0,       4786
 740,          1102,             364,            914,      3598,           0,       4446
 741,          1103,             364,           1928,      3600,           0,       5186
 742,          1104,             364,            819,      3613,           0,       4354
 743,          1105,             364,           1101,      3618,           0,       5738
 744,          1106,             364,            825,      3623,           0,       4407
 745,          1109,             366,            823,      3630,           0,       5219
 746,          1113,             369,           2346,      3648,           0,       4957
 747,          1116,             371,            828,      3638,           0,       4051
 748,          1117,             371,           1620,      3647,           0,       5552
 749,          1118,             371,            833,      3664,           0,       4210
 750,          1119,             371,            836,      3656,           0,       9914
 751,          1121,             372,            834,      3664,           0,       4402
 752,          1122,             372,           1533,      3691,           0,       6576
 753,          1123,             372,           2485,      3691,           0,       6820
 754,          1125,             373,           1898,      3700,           0,       5939
 755,          1127,             374,            840,      3709,           0,      12423
 756,          1130,             376,           2225,      3706,           0,      17990
 757,          1131,             376,           4127,      3715,           0,       7951
 758,          1132,             376,           1457,      3714,           0,       7272
 759,          1133,             376,           1423,      3708,           0,       5081
 760,          1135,             377,            843,      3754,           0,       8929
 761,          1136,             377,           1083,      3765,           0,       5294
 762,          1140,             380,           9843,      3761,           0,      11870
 763,          1142,             381,            884,      3767,           0,       6175
 764,          1143,             381,            894,      3766,           0,      13091
 765,          1144,             381,            857,      3762,           0,      13805
 766,          1145,             381,           1058,      3784,           0,      13536
 767,          1146,             381,            858,      3790,           0,       4204
 768,          1149,             383,           1061,      3801,           0,       7461
 769,          1151,             384,           9882,      3803,           0,       4246
 770,          1152,             384,           1010,      3814,           0,      11673
 771,          1153,             384,            880,      3822,           0,       5459
 772,          1154,             384,           2080,      3791,           0,       5321
 773,          1156,             385,            861,      3795,           0,       4333
 774,          1159,             387,           1021,      3819,           0,       4934
 775,          1160,             387,            872,      3820,           0,       4356
 776,          1161,             387,            859,      3821,           0,       5437
 777,          1162,             387,            878,      3825,           0,       4296
 778,          1163,             387,            868,      3842,           0,       4359
 779,          1164,             387,            867,      3839,           0,       4652
 780,          1165,             387,            864,      3842,           0,       4260
 781,          1166,             387,            863,      3848,           0,       4271
 782,          1167,             387,            864,      3851,           0,       4834
 783,          1168,             387,            869,      3863,           0,       4296
 784,          1169,             387,            864,      3864,           0,       4302
 785,          1170,             387,           1288,      3867,           0,       4309
 786,          1171,             387,            869,      3869,           0,       4285
 787,          1172,             387,            865,      3873,           0,       5793
 788,          1173,             387,            869,      3877,           0,       4380
 789,          1175,             388,            880,      3869,           0,       4308
 790,          1176,             388,           1312,      3890,           0,       4531
 791,          1178,             389,            876,      3898,           0,       4397
 792,          1179,             389,            873,      3890,           0,       4815
 793,          1180,             389,            882,      3897,           0,       4327
 794,          1181,             389,            872,      3927,           0,       4387
 795,          1182,             389,            874,      3922,           0,       4911
 796,          1183,             389,            874,      3913,           0,       4347
 797,          1184,             389,            875,      3934,           0,       4431
 798,          1185,             389,           1091,      3937,           0,       4509
 799,          1186,             389,            882,      3932,           0,       4351
 800,          1188,             390,            874,      3945,           0,       4572
 801,          1189,             390,           1007,      3948,           0,       4388
 802,          1190,             390,            881,      3957,           0,       4378
 803,          1191,             390,            893,      3952,           0,       4885
 804,          1192,             390,            885,      3952,           0,       4401
 805,          1193,             390,            878,      3961,           0,       4395
 806,          1194,             390,            880,      3965,           0,       4765
 807,          1195,             390,            885,      3972,           0,       4429
 808,          1196,             390,            889,      3985,           0,       4549
 809,          1197,             390,           1398,      3984,           0,       4436
 810,          1198,             390,            956,      3988,           0,       4428
 811,          1200,             391,            885,      3995,           0,       6886
 812,          1202,             392,            895,      4002,           0,       4441
 813,          1203,             392,            890,      4011,           0,       4765
 814,          1204,             392,           2079,      4022,           0,       4482
 815,          1206,             393,            894,      4017,           0,       4455
 816,          1208,             394,            905,      4027,           0,       5189
 817,          1210,             395,            895,      4029,           0,       4478
 818,          1215,             399,            895,      4041,           0,       5044
 819,          1216,             399,            936,      4034,           0,       4478
 820,          1217,             399,            899,      4034,           0,       4477
 821,          1218,             399,            897,      4049,           0,       5131
 822,          1219,             399,            902,      4065,           0,       4505
 823,          1220,             399,            998,      4059,           0,       4702
 824,          1221,             399,           1095,      4065,           0,       4529
 825,          1222,             399,            904,      4070,           0,       4516
 826,          1223,             399,            902,      4076,           0,       5001
 827,          1225,             400,            914,      4083,           0,       4529
 828,          1228,             402,            911,      4097,           0,       4548
 829,          1230,             403,            933,      4099,           0,       5023
 830,          1231,             403,            916,      4114,           0,       4553
 831,          1232,             403,            910,      4121,           0,       5207
 832,          1233,             403,            913,      4114,           0,       4561
 833,          1234,             403,            910,      4119,           0,       4559
 834,          1235,             403,            910,      4120,           0,       5247
 835,          1236,             403,            916,      4123,           0,       5048
 836,          1240,             406,            925,      4138,           0,       5048
 837,          1241,             406,            925,      4142,           0,       5033
 838,          1242,             406,            921,      4135,           0,       4950
 839,          1243,             406,            927,      4135,           0,       5209
 840,          1244,             406,            926,      4155,           0,       5578
 841,          1245,             406,            931,      4159,           0,       5886
 842,          1246,             406,           1865,      4162,           0,       5579
 843,          1247,             406,            929,      4176,           0,       5646
 844,          1248,             406,           2654,      4185,           0,       7195
 845,          1249,             406,            932,      4186,           0,       8714
 846,          1250,             406,           1745,      4200,           0,       4756
 847,          1251,             406,            955,      4213,           0,       7632
 848,          1252,             406,            952,      4194,           0,       4718
 849,          1253,             406,            948,      4196,           0,       8514
 850,          1255,             407,            929,      4206,           0,       5205
 851,          1256,             407,           1121,      4213,           0,       5822
 852,          1257,             407,           1744,      4219,           0,       7791
 853,          1259,             408,           1001,      4231,           0,       6294
 854,          1260,             408,            932,      4231,           0,       7051
 855,          1261,             408,            942,      4238,           0,       7401
 856,          1262,             408,           1795,      4246,           0,       7349
 857,          1264,             409,            974,      4253,           0,       6373
 858,          1266,             410,            940,      4260,           0,       8223
 859,          1268,             411,            951,      4267,           0,       6582
 860,          1270,             412,           2179,      4265,           0,       6174
 861,          1271,             412,           1297,      4261,           0,       5946
 862,          1272,             412,           1343,      4279,           0,       6989
 863,          1273,             412,            952,      4291,           0,       6513
 864,          1274,             412,           1492,      4304,           0,       5678
 865,          1276,             413,            940,      4310,           0,       7477
 866,          1278,             414,            954,      4316,           0,       5968
 867,          1282,             417,           1050,      4319,           0,       8428
 868,          1283,             417,           1157,      4323,           0,       4867
 869,          1284,             417,            957,      4319,           0,       8474
 870,          1285,             417,            960,      4339,           0,       4807
 871,          1286,             417,           3752,      4328,           0,       5548
 872,          1288,             418,            958,      4355,           0,       4970
 873,          1289,             418,           1773,      4356,           0,       5230
 874,          1290,             418,            953,      4353,           0,       4868
 875,          1291,             418,            954,      4366,           0,       6234
 876,          1292,             418,           1564,      4382,           0,       4849
 877,          1294,             419,            957,      4386,           0,       7182
 878,          1296,             420,            961,      4377,           0,       4920
 879,          1297,             420,           1971,      4379,           0,       5671
 880,          1298,             420,            966,      4402,           0,       5802
 881,          1300,             421,           1289,      4405,           0,       6139
 882,          1301,             421,            961,      4422,           0,       6507
 883,          1302,             421,            965,      4425,           0,       6098
 884,          1303,             421,            978,      4418,           0,       6239
 885,          1305,             422,            967,      4417,           0,       7688
 886,          1306,             422,            972,      4435,           0,       4899
 887,          1307,             422,            966,      4442,           0,       6628
 888,          1308,             422,            966,      4442,           0,       4897
 889,          1309,             422,            961,      4454,           0,       6116
 890,          1310,             422,           1125,      4453,           0,       4936
 891,          1311,             422,            967,      4468,           0,       5431
 892,          1312,             422,           1492,      4474,           0,       5145
 893,          1313,             422,            969,      4478,           0,       5419
 894,          1315,             423,            970,      4489,           0,       6021
 895,          1317,             424,            978,      4500,           0,       5415
 896,          1320,             426,            972,      4495,           0,       6366
 897,          1321,             426,           1018,      4501,           0,       5338
 898,          1322,             426,            976,      4516,           0,       6373
 899,          1324,             427,            977,      4524,           0,       5102
 900,          1325,             427,           1145,      4509,           0,       6189
 901,          1326,             427,            979,      4518,           0,       5001
 902,          1327,             427,           1357,      4514,           0,       5550
 903,          1329,             428,           1614,      4519,           0,       8155
 904,          1330,             428,           1030,      4555,           0,       7508
 905,          1331,             428,           1024,      4558,           0,      14962
 906,          1332,             428,           4273,      4572,           0,      16174
 907,          1333,             428,          10514,      4566,           0,      19327
 908,          1334,             428,           2948,      4558,           0,      10392
 909,          1337,             430,           1513,      4557,           0,      21382
 910,          1341,             433,           2546,      4555,           0,       6752
 911,          1342,             433,            990,      4571,           0,       8441
 912,          1343,             433,            997,      4585,           0,       5068
 913,          1345,             434,            992,      4587,           0,       6093
 914,          1346,             434,            995,      4583,           0,       5125
 915,          1347,             434,            999,      4600,           0,       5530
 916,          1348,             434,           1364,      4597,           0,       5084
 917,          1349,             434,            999,      4604,           0,       5100
 918,          1350,             434,            993,      4604,           0,       5101
 919,          1352,             435,            993,      4623,           0,       5070
 920,          1353,             435,            993,      4621,           0,       6545
 921,          1354,             435,           1011,      4624,           0,       5108
 922,          1356,             436,            994,      4631,           0,       5671
 923,          1357,             436,           1003,      4643,           0,       5100
 924,          1358,             436,           1004,      4657,           0,       5158
 925,          1359,             436,           1189,      4658,           0,       5254
 926,          1361,             437,           1167,      4659,           0,       5480
 927,          1362,             437,           1126,      4663,           0,       6041
 928,          1363,             437,           1641,      4697,           0,       5416
 929,          1364,             437,           1101,      4701,           0,       6146
 930,          1367,             439,           1007,      4686,           0,       5137
 931,          1371,             442,           1008,      4704,           0,       5284
 932,          1372,             442,           1011,      4703,           0,       5316
 933,          1373,             442,           1010,      4706,           0,       5202
 934,          1375,             443,           1093,      4713,           0,       5196
 935,          1376,             443,           1013,      4727,           0,       5223
 936,          1377,             443,           1012,      4736,           0,       5185
 937,          1378,             443,           1011,      4738,           0,       5183
 938,          1379,             443,           1012,      4750,           0,       5201
 939,          1380,             443,           1014,      4746,           0,       5361
 940,          1382,             444,           1019,      4758,           0,       5224
 941,          1385,             446,           1019,      4758,           0,       5216
 942,          1388,             448,           1020,      4779,           0,       5335
 943,          1389,             448,           1024,      4778,           0,       5235
 944,          1390,             448,           1022,      4787,           0,       5231
 945,          1392,             449,           1023,      4792,           0,       5234
 946,          1393,             449,           1024,      4806,           0,       5250
 947,          1394,             449,           1025,      4814,           0,       5248
 948,          1396,             450,           1028,      4792,           0,       5245
 949,          1398,             451,           1029,      4794,           0,       5269
 950,          1399,             451,           1029,      4814,           0,       5262
 951,          1400,             451,           1030,      4833,           0,       5293
 952,          1401,             451,           1029,      4828,           0,       5573
 953,          1402,             451,           1040,      4829,           0,       5293
 954,          1403,             451,           1032,      4856,           0,       5298
 955,          1404,             451,           1031,      4850,           0,       5302
 956,          1406,             452,           1035,      4856,           0,       5321
 957,          1407,             452,           1036,      4868,           0,       5321
 958,          1409,             453,           1032,      4877,           0,       5320
 959,          1410,             453,           1070,      4892,           0,       5372
 960,          1411,             453,           1034,      4885,           0,       5336
 961,          1412,             453,           1055,      4891,           0,       6371
 962,          1413,             453,           1039,      4911,           0,       5367
 963,          1414,             453,           1492,      4917,           0,       5425
 964,          1415,             453,           1041,      4918,           0,      15457
 965,          1416,             453,           1263,      4918,           0,       6723
 966,          1417,             453,           1044,      4927,           0,       6592
 967,          1418,             453,           1177,      4937,           0,       5516
 968,          1420,             454,           1098,      4940,           0,       9480
 969,          1422,             455,           1052,      4945,           0,       5404
 970,          1424,             456,           1045,      4942,           0,       6543
 971,          1425,             456,           1056,      4958,           0,       5866
 972,          1426,             456,           1324,      4962,           0,       7108
 973,          1428,             457,           1229,      4968,           0,       5446
 974,          1429,             457,           1405,      4969,           0,       6366
 975,          1431,             458,           1060,      4993,           0,       5439
 976,          1432,             458,           1056,      4969,           0,       6240
 977,          1433,             458,           1066,      4972,           0,       5436
 978,          1434,             458,           1051,      4986,           0,       6474
 979,          1436,             459,           1069,      4990,           0,       5453
